time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-08T22:41:59.000Z,32.84520506858826,-117.2492297552526,5432.72998046875,158,22:41:59.000Z,28.2001953125,2,31.54191845703125
2021-05-08T22:42:00.000Z,32.84515058621764,-117.24913009442389,5443.759765625,162,22:42:00.000Z,11.02978515625,1,24.67362939453125
2021-05-08T22:42:01.000Z,32.8451060783118,-117.24904543720186,5453.0498046875,161,22:42:01.000Z,9.2900390625,1,20.781817382812502
2021-05-08T22:42:02.000Z,32.84506894648075,-117.24897067062557,5461.10986328125,156,22:42:02.000Z,8.06005859375,1,18.03035107421875
2021-05-08T22:42:03.000Z,32.845052098855376,-117.24890965037048,5466.97021484375,154,22:42:03.000Z,5.8603515625,1,13.109606445312501
2021-05-08T22:42:04.000Z,32.845055954530835,-117.24886036477983,5471.259765625,151,22:42:04.000Z,4.28955078125,1,9.595725097656251
2021-05-08T22:42:05.000Z,32.84509819932282,-117.2488256637007,5476.91015625,154,22:42:05.000Z,5.650390625,1,12.639923828125001
2021-05-08T22:42:07.000Z,32.84528913907707,-117.24883421324193,5498.16015625,156,22:42:07.000Z,21.25,2,23.768125
2021-05-08T22:42:12.000Z,32.84578484483063,-117.2488843370229,5553.4501953125,"
                ",22:42:12.000Z,55.2900390625,5,24.7367634765625
2021-05-08T22:42:16.000Z,32.845897916704416,-117.24884930066764,5566.97021484375,154,22:42:16.000Z,13.52001953125,4,7.561070922851563
2021-05-08T22:42:20.000Z,32.8457881975919,-117.24899028427899,5589.419921875,152,22:42:20.000Z,22.44970703125,4,12.554998657226562
2021-05-08T22:42:21.000Z,32.84567286260426,-117.24897343665361,5602.2998046875,152,22:42:21.000Z,12.8798828125,1,28.8122978515625
2021-05-08T22:42:25.000Z,32.84520816989243,-117.24891945719719,5654.10009765625,151,22:42:25.000Z,51.80029296875,4,28.96931384277344
2021-05-08T22:42:26.000Z,32.845143880695105,-117.24893965758383,5661.47021484375,151,22:42:26.000Z,7.3701171875,1,16.4869521484375
2021-05-08T22:42:28.000Z,32.84504388459027,-117.24902347661555,5675.25,152,22:42:28.000Z,13.77978515625,2,15.412689697265625
2021-05-08T22:42:31.000Z,32.84511596895754,-117.24927728064358,5700.490234375,153,22:42:31.000Z,25.240234375,3,18.82080143229167
2021-05-08T22:42:36.000Z,32.845369102433324,-117.249846579507,5760.72998046875,155,22:42:36.000Z,60.23974609375,5,26.95126240234375
2021-05-08T22:42:40.000Z,32.84556666389108,-117.2503590490669,5813.64013671875,156,22:42:40.000Z,52.91015625,4,29.5900048828125
2021-05-08T22:42:42.000Z,32.84558351151645,-117.25059256888926,5835.580078125,154,22:42:42.000Z,21.93994140625,2,24.539824462890625
2021-05-08T22:42:43.000Z,32.8455550968647,-117.25070497021079,5846.5400390625,150,22:42:43.000Z,10.9599609375,1,24.517432617187502
2021-05-08T22:42:45.000Z,32.84545945934951,-117.2509597800672,5872.64990234375,153,22:42:45.000Z,26.10986328125,2,29.203882080078127
2021-05-08T22:42:47.000Z,32.845374550670385,-117.25122188217938,5898.89990234375,157,22:42:47.000Z,26.25,2,29.360625000000002
